Vehicle_ID,Car_Model,Battery_Type,Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Driving_Style,Internal_Resistance_Ohm,SoH_Percent,Battery_Status,,
dea7428b,Wuling Air EV,,26,67,666,0.5,0,2.5,Aggressive,0.029,95.18,Healthy,,
57acfbe1,Ford Mustang Mach-E,NMC,88,22,171,6.9,0.1,,,0.0255,97.8,Healthy,,
5b861f2,Tesla Model ,NMC,75,2,190,22.8,0.2,,Aggressive,,97.25,Healthy,,
0bf47b9,Hyundai Ioniq 5,NMC,72.6,2,288,,0.44,1.8,Conservative,,96.89,Healthy,,
8e96f0fe,Tesla Model ,NMC,75,2,177,15,0.46,2.18,Moderate,0.0252,98.06,Healthy,,
72cfc2e6,Tesla Model ,NMC,75,64,564,10,0.28,1.42,Moderate,0.068,95.01,Healthy,,
8e6790f4,Ford Mustang Mach-E,NMC,88,89,948,4,0.6,1.27,Moderate,0.0546,88.27,Healthy,,
691bc51,,NMC,75,57,654,,0.5,2.18,Conservative,0.057,94.12,Healthy,,
cf4ac1f,Ford Mustang Mach-E,NMC,88,9,57,24.7,0.51,1.5,Moderate,0.024,98.72,Healthy,,
8549975,,,26,52,49,17.4,0.84,1.27,Conservative,,96.59,Healthy,,
06ef1e8,Hyundai Ioniq 5,NMC,72.6,9,449,0.7,0.64,2.1,Aggressive,0.058,94.77,Healthy,,
19e048f,,LFP,60,21,249,2.4,0.57,1.5,Conservative,0.0214,98.91,Healthy,,
4eb606,BYD Atto ,LFP,60,,42,25.9,0.96,1.24,Moderate,0.021,,Healthy,,
75572818,,NMC,88,0,176,1.8,0.98,,Moderate,0.029,97.17,Healthy,,
72a45e80,Hyundai Ioniq 5,NMC,72.6,68,1010,,0.7,1.41,Conservative,0.0558,88.21,Healthy,,
b7cb91,,NMC,72.6,72,712,19.6,0.89,2.48,Moderate,0.045,92.06,Healthy,,
50048ba7,Ford Mustang Mach-E,NMC,88,21,118,22.1,0.99,2.06,,0.0245,98.47,Healthy,,
beb987a,Ford Mustang Mach-E,,88,47,2,28.4,0.49,,Moderate,0.0294,97.15,Healthy,,
dbfe6b9,Wuling Air EV,,26,95,115,16,0.96,,Conservative,0.068,91.87,Healthy,,
6859cfb6,,NMC,88,2,216,4.1,0.04,1.97,Moderate,0.0261,98.14,Healthy,,
59e58a9,Tesla Model ,NMC,75,7,2,22,0.55,1.8,Moderate,,95.41,Healthy,,
a02be7df,Hyundai Ioniq 5,NMC,72.6,4,54,25.8,0.92,,Moderate,0.0251,98.91,Healthy,,
45d65760,Wuling Air EV,,26,4,6,26,0.2,2.1,Moderate,0.0226,99.41,Healthy,,
a052eeb4,Tesla Model ,NMC,75,58,506,19.8,0.58,,Moderate,0.02,95.8,Healthy,,
4decdd9f,Wuling Air EV,LFP,26,57,490,24.9,0.41,,Moderate,0.0246,96.77,Healthy,,
18d5e5e1,Tesla Model ,NMC,75,74,7,6.1,0.88,,Moderate,0.067,94.08,Healthy,,
8.67E+06,Wuling Air EV,LFP,26,72,857,22,0.26,,Moderate,0.0289,95.26,Healthy,,
64f128,Tesla Model ,NMC,75,28,248,7.1,0.75,,Moderate,0.0296,96.72,Healthy,,
b0b8af,BYD Atto ,,60,8,210,2.2,0.25,1.52,Conservative,0.0222,98.69,Healthy,,
6e846901,BYD Atto ,LFP,60,76,817,17.7,0.76,1.04,Aggressive,0.046,9.12,Healthy,,
d6205209,Wuling Air EV,LFP,26,,495,,0.74,0.71,Moderate,0.0255,97.19,Healthy,,
e218694,BYD Atto ,LFP,60,6,429,21.7,0.51,,Moderate,0.025,98.51,Healthy,,
2964b71,Wuling Air EV,LFP,26,87,809,12.5,0.6,2.09,Aggressive,0.047,92.52,Healthy,,
0a07741a,Ford Mustang Mach-E,NMC,88,12,72,,0.06,1.5,Conservative,0.0197,,Healthy,,
28accc,,,75,2,25,28.7,0.07,,Moderate,,97.27,Healthy,,
417b6850,BYD Atto ,LFP,60,82,985,4,0.26,,Moderate,0.067,92.61,Healthy,,
a4c6a,Ford Mustang Mach-E,NMC,88,46,566,12.6,0.71,0.79,Aggressive,0.0447,91.77,Healthy,,
9ea60a2,BYD Atto ,,60,9,66,25.2,0.75,1.88,Aggressive,0.0186,99.77,Healthy,,
a6e572a6,Hyundai Ioniq 5,NMC,72.6,74,948,,0.79,,Moderate,0.05,89.18,Healthy,,
5bbeb1d4,,NMC,72.6,2,8,2.8,0.04,,Aggressive,0.02,99.97,Healthy,,
0112da95,Tesla Model ,NMC,75,29,125,29.7,0.7,0.99,Aggressive,,98.2,Healthy,,
9dec695d,Hyundai Ioniq 5,,72.6,56,50,27.2,0.47,2.26,Moderate,0.09,94.9,Healthy,,
616bd7,Hyundai Ioniq 5,NMC,72.6,96,1051,22.8,0.89,0.88,Moderate,0.0598,87,Healthy,,
c171b9bf,Tesla Model ,,75,7,177,6.2,0.56,,Aggressive,0.0279,97.04,Healthy,,
e72cd1af,Ford Mustang Mach-E,NMC,88,8,,17,0.59,,,0.004,96.02,Healthy,,
900916c,,NMC,75,42,258,,0.5,1.05,Conservative,0.0278,97.6,Healthy,,
495e6ac,Tesla Model ,NMC,75,2,9,,0.08,1.74,Conservative,0.0207,,Healthy,,
d1d47870,Tesla Model ,NMC,75,88,76,29.2,0.66,2.4,Conservative,0.01,96.46,Healthy,,
906db0c,,NMC,88,6,672,20.2,0.24,,Moderate,0.07,94.6,Healthy,,
a9879e0,,LFP,60,62,681,,0.02,1.09,Conservative,,96.85,Healthy,,
0ca9a,BYD Atto ,,60,52,477,16.7,0.45,1.02,Conservative,0.0244,98.09,Healthy,,
109872ae,Hyundai Ioniq 5,NMC,72.6,75,761,0.5,0.7,1.88,Moderate,0.0459,91.57,Healthy,,
5d5a59fa,Wuling Air EV,LFP,26,64,589,7.2,0.2,1.05,Aggressive,0.0297,94.85,Healthy,,
bbfff56,Ford Mustang Mach-E,NMC,88,8,504,,0.6,1.27,Conservative,0.06,9.1,Healthy,,
8b4b0895,Wuling Air EV,LFP,26,,17,2.1,0.92,,Aggressive,0.0197,,Healthy,,
d4e5f46,BYD Atto ,LFP,60,92,159,27.2,0.47,0.66,Aggressive,,90.21,Healthy,,
102a5ed5,,,75,0,156,2.7,0.14,0.79,Conservative,0.022,98.74,Healthy,,
aed527,Tesla Model ,NMC,75,5,64,18.9,0.85,1.1,Moderate,0.0219,99.19,Healthy,,
b487feb,Hyundai Ioniq 5,,72.6,,6,11.1,0.88,0.99,Conservative,0.0288,96.7,Healthy,,
c0f70b9,,LFP,60,11,52,0.4,0.28,0.97,Conservative,0.018,,Healthy,,
21bfee5,Hyundai Ioniq 5,NMC,72.6,,1,19.8,0.8,2.05,Moderate,0.0242,98.71,Healthy,,
f05df9,Hyundai Ioniq 5,NMC,72.6,51,4,8.2,0.61,0.77,Moderate,0.08,9.88,Healthy,,
1e2049e,Wuling Air EV,LFP,26,80,1061,,0.66,1.98,Moderate,0.0426,89,Healthy,,
e9e545c1,,NMC,75,41,511,26.8,0.8,1.95,Conservative,0.007,95.67,Healthy,,
852b6c5c,Wuling Air EV,LFP,26,56,567,26.5,0.52,,Moderate,0.0266,96.55,Healthy,,
1f6aa78,Ford Mustang Mach-E,NMC,88,7,852,1.2,0.71,1.1,Moderate,0.0449,91.65,Healthy,,
9a07d1b9,,NMC,88,84,1241,5.1,0,0.59,Aggressive,0.07,8.74,Healthy,,
88c75671,BYD Atto ,LFP,60,4,51,22.9,0.95,1.24,Conservative,0.026,97.2,Healthy,,
812f85be,Ford Mustang Mach-E,NMC,88,18,170,2.2,0.56,2.26,Moderate,0.02,99.57,Healthy,,
a707278c,Tesla Model ,,75,46,289,0.2,0.28,1.4,Moderate,0,97.06,Healthy,,
0f7adb4,Wuling Air EV,LFP,26,58,597,7.5,0.54,1,Moderate,0.008,94.89,Healthy,,
267e675a,Ford Mustang Mach-E,NMC,88,95,502,28,0.45,0.95,Moderate,0.054,95.19,Healthy,,
6abcb849,BYD Atto ,LFP,60,26,276,24.7,0.44,,Moderate,0.0259,97.79,Healthy,,
55b8e185,Tesla Model ,,75,79,994,29.2,0.74,1,Moderate,0.0511,89.12,Healthy,,
ee724d7f,Hyundai Ioniq 5,NMC,72.6,15,110,2.6,0.22,1.81,Aggressive,0.028,98.2,Healthy,,
70484f4,,LFP,26,,16,,0.79,0.9,Conservative,0.0215,99.52,Healthy,,
615dd,Tesla Model ,,75,12,148,,0.5,0.62,Moderate,0.022,98.99,Healthy,,
891185,Hyundai Ioniq 5,NMC,72.6,76,777,,0.85,0.66,Conservative,0.0448,91.71,Healthy,,
4f5a0,Hyundai Ioniq 5,NMC,72.6,51,645,0.8,0.6,2.08,Moderate,0.0422,92.77,Healthy,,
6dd6225,Tesla Model ,NMC,75,21,178,18.4,0.19,,Conservative,0.025,98.4,Healthy,,
f98517c,BYD Atto ,LFP,60,6,451,27.7,0.1,0.98,Conservative,0.0249,97.47,Healthy,,
fda1e08f,Wuling Air EV,LFP,26,9,446,20.4,0.01,,Aggressive,0.0249,96.57,Healthy,,
cabbc6ac,Tesla Model ,NMC,75,74,680,28.8,0.48,1.49,Moderate,0.0416,9.8,Healthy,,
1e1c2794,Wuling Air EV,LFP,26,10,45,2.5,0.91,1.88,Aggressive,0.021,99.47,Healthy,,
bc094297,BYD Atto ,LFP,60,89,1057,20,0.9,2.22,Moderate,0.02,92.52,Healthy,,
d250b49a,Hyundai Ioniq 5,NMC,72.6,5,72,27.6,0.96,2.9,Moderate,0.021,99.91,Healthy,,
ea90b,,LFP,60,76,1055,22.6,0.97,1.75,Moderate,0.058,92.6,Healthy,,
4d6454d9,BYD Atto ,LFP,60,62,904,26,0.98,2,Aggressive,0.081,91.6,Healthy,,
54e2ff5,BYD Atto ,LFP,60,60,819,,0.28,2.17,Conservative,0.0258,96.6,Healthy,,
a9414779,Ford Mustang Mach-E,NMC,88,79,45,0.1,0.29,,Moderate,0.01,95.22,Healthy,,
d50d6b6,Hyundai Ioniq 5,NMC,72.6,70,5,4.5,0,,Moderate,0.0499,89.95,Healthy,,
00a78e6e,Ford Mustang Mach-E,NMC,88,26,14,21.8,0.18,1.81,Moderate,0.0262,97.7,Healthy,,
f6b522fe,BYD Atto ,LFP,60,94,1048,24.4,0.64,1.8,Aggressive,0.096,90.82,Healthy,,
57b79e5,Tesla Model ,NMC,75,7,554,28.2,0.91,1.91,Moderate,0.098,9.7,Healthy,,
cbce20a,Hyundai Ioniq 5,NMC,72.6,46,444,25.8,0.02,0.88,Conservative,0.002,96.97,Healthy,,
ca4a618,Hyundai Ioniq 5,NMC,72.6,51,541,21.9,0.8,2.08,Aggressive,0.0414,92.79,Healthy,,
480c55a6,,LFP,60,21,255,2.1,0.11,,Aggressive,0.0246,98.1,Healthy,,
f1adbe67,Ford Mustang Mach-E,NMC,88,6,52,22,0.52,2.47,Aggressive,0.0207,99.84,Healthy,,
75059609,Tesla Model ,NMC,75,87,954,4.8,0.75,,Aggressive,0.0667,84.1,Healthy,,
c5f411b,Hyundai Ioniq 5,NMC,72.6,69,,2.9,0.95,,Conservative,0.04,92.65,Healthy,,
8a15b9dd,Hyundai Ioniq 5,NMC,72.6,91,798,,0.25,0.57,Aggressive,0.044,91.27,Healthy,,
795b2920,Ford Mustang Mach-E,NMC,88,4,257,21.2,0.24,2.8,Moderate,,97.96,Healthy,,
daf095d9,Wuling Air EV,LFP,26,6,772,,0,1,Conservative,0.0246,97.48,Healthy,,
b9821c7b,BYD Atto ,LFP,60,47,4,27.6,0,1.96,Conservative,0.027,98.15,Healthy,,
7a6c06b9,BYD Atto ,,60,90,105,22.2,0.12,,Conservative,0.0281,95.64,Healthy,,
f242dde7,Tesla Model ,NMC,75,5,69,24.1,0.15,1.2,Conservative,0.0211,99.66,Healthy,,
ab5e2646,Ford Mustang Mach-E,NMC,88,26,177,,0.49,2.01,Aggressive,,98.27,Healthy,,
64e1ed85,Hyundai Ioniq 5,NMC,72.6,15,112,2,0.2,2.47,Moderate,0.0254,98.64,Healthy,,
c50f19f,Hyundai Ioniq 5,NMC,72.6,65,691,5,0.25,1.86,Conservative,0.042,92.85,Healthy,,
58be18c7,Ford Mustang Mach-E,NMC,88,8,946,18.5,0.45,,Conservative,,92.6,Healthy,,
db665510,Wuling Air EV,LFP,26,2,1,2,0.7,,Conservative,0.019,99.9,Healthy,,
9aad1e81,Tesla Model ,NMC,75,69,1015,28.8,0.69,,Aggressive,0.0616,85.9,Healthy,,
f907b52,Ford Mustang Mach-E,,88,45,281,29,0.99,1.4,Moderate,0.004,96.25,Healthy,,
4885bcd,Ford Mustang Mach-E,NMC,88,9,1199,27.8,0.81,1.45,Moderate,0.0619,86.09,Healthy,,
0d4af6,BYD Atto ,,60,4,51,16.7,0.5,1.05,Conservative,,99.24,Healthy,,
0dd745c8,Tesla Model ,,75,7,76,0.9,0.1,,Aggressive,0.0198,99.42,Healthy,,
97a4459,Tesla Model ,NMC,75,14,188,17.4,0.04,0.6,,,97.27,Healthy,,
fc9abfd7,Ford Mustang Mach-E,,88,94,986,4.2,0.55,,Conservative,0.0506,89.64,Healthy,,
68821fc,BYD Atto ,,60,21,119,29.5,0.61,2.15,Aggressive,0.0211,99.41,Healthy,,
fdbd9e82,Wuling Air EV,LFP,26,42,18,4.6,0.52,2.01,Conservative,0.025,98.77,Healthy,,
1caa8f7,BYD Atto ,,60,22,250,16.6,0.9,0.62,Moderate,0.0204,98.28,Healthy,,
16d8e768,Hyundai Ioniq 5,,72.6,62,787,18,0.47,1.1,Moderate,0.0462,91.62,Healthy,,
0c69ead,Ford Mustang Mach-E,NMC,88,8,129,,0.6,0.54,Moderate,0.062,86.5,Healthy,,
fd5e64c,Tesla Model ,NMC,75,49,258,,0.8,,Moderate,0.014,96.98,Healthy,,
faab9db2,Wuling Air EV,,26,9,202,22.8,0.76,,Moderate,0.021,99.05,Healthy,,
bfb441,Tesla Model ,NMC,75,47,607,2.5,0.44,1.44,Moderate,0.077,9.84,Healthy,,
7ae489,Ford Mustang Mach-E,NMC,88,8,117,28.4,0.51,1.11,Moderate,0.024,99.08,Healthy,,
0e85b1,BYD Atto ,,60,27,267,21.9,0.06,,Aggressive,0.025,98.16,Healthy,,
9c0ddea,,LFP,60,78,918,27.1,0.27,2.7,Conservative,0.0297,95.52,Healthy,,
f1b2bf4,Tesla Model ,NMC,75,90,481,22,0.7,1.47,Moderate,0.064,94.6,Healthy,,
2eb9c0f,,LFP,60,9,420,,0.85,,Moderate,0.027,96.72,Healthy,,
905d7c5,,NMC,75,51,746,,0.9,,Moderate,0.0446,91.82,Healthy,,
7d25dc49,Wuling Air EV,LFP,26,1,275,,0.7,,Aggressive,0.0226,98.51,Healthy,,
8afe8da,Ford Mustang Mach-E,NMC,88,54,741,24.4,0.95,1.07,Conservative,0.04,92.44,Healthy,,
a8a1108b,,NMC,72.6,49,489,14.1,0.67,0.91,Aggressive,,94,Healthy,,
9fef06e0,,,60,7,1020,2.7,0.44,,Moderate,0.09,9.44,Healthy,,
00bceb6,,LFP,60,8,45,22,0.27,0.92,Moderate,0.0241,97.88,Healthy,,
a8f6ac0c,Ford Mustang Mach-E,NMC,88,86,879,22.7,0,1.27,Moderate,0.045,91.84,Healthy,,
f2812,,,75,16,70,28.8,0.94,1.29,Aggressive,0.028,98.44,Healthy,,
60d0d06d,Ford Mustang Mach-E,NMC,88,4,65,27.5,0.51,,Aggressive,,94.62,Healthy,,
5d7fdff0,Tesla Model ,NMC,75,8,972,24.4,0.8,0.94,Aggressive,0.0568,88.02,Healthy,,
f096a4c5,Hyundai Ioniq 5,NMC,72.6,74,977,2.2,0.85,0.97,Aggressive,0.066,84.5,Healthy,,
46b6f8c,Tesla Model ,NMC,75,24,102,22.4,0.99,0.66,Moderate,0.025,98.44,Healthy,,
1cd71a,Ford Mustang Mach-E,,88,74,869,,0,0.8,Moderate,0.0411,92.1,Healthy,,
859780c,Wuling Air EV,,26,10,128,1.4,0.28,1.66,Moderate,0.0214,99.5,Healthy,,
1ad5bb84,BYD Atto ,LFP,60,79,1125,0,0.82,,Moderate,,91.72,Healthy,,
0d4d114,,,26,71,598,19,0.65,1.48,Moderate,0.0271,96.44,Healthy,,
e2e57ff,BYD Atto ,,60,44,48,,0.6,1.05,Aggressive,,97.71,Healthy,,
257c8b6,,NMC,72.6,26,26,0.9,0.64,1.22,,0.016,96.56,Healthy,,
1288d14,Wuling Air EV,LFP,26,4,2,18.6,0.47,0.76,Moderate,0.0198,,Healthy,,
d0a5016f,Ford Mustang Mach-E,NMC,88,28,188,0.2,0.84,0.61,Moderate,0.0275,97.67,Healthy,,
6f1f61f,Ford Mustang Mach-E,NMC,88,20,205,4.9,0.07,,Moderate,0.0258,97.95,Healthy,,
c2b78a4,Tesla Model ,NMC,75,5,419,0.1,0.89,2.48,Conservative,0.044,95.9,Healthy,,
77bfd0,Tesla Model ,NMC,75,,28,5.8,0.08,,Moderate,0.0182,,Healthy,,
ab1c22f,Tesla Model ,NMC,75,58,2,9.2,0.08,2.04,Moderate,0.022,96.2,Healthy,,
160aaad,,NMC,72.6,5,7,1.6,0.1,,Moderate,0.0211,99.9,Healthy,,
4a66b24c,Wuling Air EV,,26,78,752,20.1,0.57,2.29,Conservative,0.0271,95.54,Healthy,,
2d17eec2,Tesla Model ,NMC,75,61,758,8.5,0.96,,Aggressive,0.0667,84.48,Healthy,,
a157225,Hyundai Ioniq 5,NMC,72.6,88,670,24,0.2,1.98,Conservative,0.088,94.2,Healthy,,
d98798e7,BYD Atto ,LFP,60,5,54,27.6,0.6,,Conservative,0.0224,99.41,Healthy,,
2610555,Hyundai Ioniq 5,NMC,72.6,9,5,28.4,0.66,1.18,Moderate,0.0284,97.47,Healthy,,
844d88f8,Hyundai Ioniq 5,NMC,72.6,89,2,19.6,0.07,0.79,Conservative,0.0277,97.27,Healthy,,
5511d626,,NMC,72.6,92,1117,26.2,0.82,1.59,Moderate,0.0571,87.76,Healthy,,
df216f74,BYD Atto ,LFP,60,87,58,0,0.2,1.76,Moderate,0.0264,97.46,Healthy,,
0c0fa4c5,Tesla Model ,NMC,75,65,15,5.7,0.04,1.61,Moderate,0.0277,97.54,Healthy,,
062b74e,Wuling Air EV,LFP,26,49,,8.5,0.2,1.52,Conservative,0.022,97.76,Healthy,,
ca89f185,Wuling Air EV,LFP,26,47,65,0.5,0.16,1.16,Aggressive,0.0265,96.95,Healthy,,
7cbfe87,Ford Mustang Mach-E,NMC,88,9,99,25,0.81,,Conservative,0.0227,98.89,Healthy,,
f10a8ed1,Hyundai Ioniq 5,NMC,72.6,17,172,2,0.18,,Conservative,0.0251,97.9,Healthy,,
f2b4b251,,LFP,26,8,502,,0.41,0.58,Moderate,0.027,97.46,Healthy,,
e2c8cf6f,Hyundai Ioniq 5,,72.6,2,29,6.4,0.14,,Moderate,0.0208,,Healthy,,
c0695dd8,Hyundai Ioniq 5,NMC,72.6,10,81,19.6,0.77,,Moderate,0.0225,99.6,Healthy,,
fa42ba90,,NMC,72.6,52,9,2.4,0.01,1.81,Aggressive,0,96.64,Healthy,,
50ba527,Wuling Air EV,LFP,26,9,171,2.2,0.45,2.29,Moderate,0.08,90.97,Healthy,,
9b89add8,Wuling Air EV,LFP,26,27,225,20.1,0.98,2.08,Conservative,0.0207,99.11,Healthy,,
e95f90a,Ford Mustang Mach-E,,88,89,1084,0,0.5,,Moderate,,88.7,Healthy,,
2582cedc,Wuling Air EV,LFP,26,52,82,,0.49,,Conservative,0.0252,96.89,Healthy,,
1d795664,Hyundai Ioniq 5,NMC,72.6,52,60,5,0.4,1.6,Conservative,0.04,9.41,Healthy,,
a9ecdc41,BYD Atto ,LFP,60,6,241,29.2,0.77,2.16,Conservative,0.025,98.17,Healthy,,
87799068,BYD Atto ,LFP,60,65,489,26.1,0.56,0.7,Moderate,0.0277,96.79,Healthy,,
479147,Ford Mustang Mach-E,NMC,88,9,786,24.2,0.71,2.05,Aggressive,0.0515,89.9,Healthy,,
d52fa761,Ford Mustang Mach-E,,88,80,681,2.8,0.86,,Conservative,0.042,92.68,Healthy,,
a0fc1e7b,,,72.6,77,926,7.2,0.8,1.48,Moderate,0.0495,90,Healthy,,
91f4e7d0,BYD Atto ,LFP,60,7,488,0.4,0.9,1.86,Moderate,0.016,94.14,Healthy,,
a7cea46a,Wuling Air EV,,26,5,7,,0.95,1.27,Aggressive,,99.92,Healthy,,
c9fd6a5a,Hyundai Ioniq 5,NMC,72.6,1,41,16.1,0.2,2.06,Conservative,0.0282,97,Healthy,,
c29e9484,Wuling Air EV,LFP,26,56,77,19.4,0.25,,Conservative,,98.14,Healthy,,
cecc954c,,,26,81,9,15.4,0.29,1.19,Moderate,0.0218,98.26,Healthy,,
f892b15,Ford Mustang Mach-E,NMC,88,,199,25.7,0.46,1.84,Aggressive,0.026,97.44,Healthy,,
e2bcd6b8,,LFP,60,6,444,9.9,0.24,,Moderate,,95.67,Healthy,,
a857492,Tesla Model ,NMC,75,6,470,17.5,0.45,1.19,Moderate,0.04,95.49,Healthy,,
468f805f,Hyundai Ioniq 5,NMC,72.6,84,1147,2.9,0.98,1.09,Moderate,0.0672,84.46,Healthy,,
db46287,Hyundai Ioniq 5,,72.6,75,48,20.4,0.2,0.98,Moderate,0.029,96.62,Healthy,,
69b82b99,Ford Mustang Mach-E,NMC,88,77,976,21.4,0.84,2.1,Conservative,0.0489,90.24,Healthy,,
97796e6e,Ford Mustang Mach-E,NMC,88,2,20,21.9,0.7,,Conservative,0.027,96.58,Healthy,,
ff08b6,Hyundai Ioniq 5,,72.6,26,170,26,0.1,1.1,Conservative,0.0242,98.4,Healthy,,
18449e,Ford Mustang Mach-E,NMC,88,59,47,1.9,0.84,0.96,Moderate,0.0297,97.9,Healthy,,
06f2afc,BYD Atto ,LFP,60,78,117,21,0.96,1.77,Conservative,0,92.56,Healthy,,
7d66b05,Ford Mustang Mach-E,NMC,88,76,1061,27.6,0.62,1.05,Moderate,0.0517,89.24,Healthy,,
97e0d9db,Ford Mustang Mach-E,NMC,88,56,814,15,0.04,,Moderate,0.072,9.75,Healthy,,
b2a5677,BYD Atto ,,60,,46,28.2,0.25,0.65,Moderate,0.0222,98.5,Healthy,,
d6990505,Wuling Air EV,LFP,26,84,566,27.7,0.16,0.7,Aggressive,0.0299,95.5,Healthy,,
e222f0c0,Tesla Model ,NMC,75,15,178,25.8,0,,Moderate,,97.8,Healthy,,
f780066a,Wuling Air EV,LFP,26,84,1207,24.8,0.27,0.88,Moderate,0.07,92.51,Healthy,,
61726cc,BYD Atto ,LFP,60,1,1,5.1,0.8,0.79,Moderate,0.0206,99.82,Healthy,,
cd8f9669,BYD Atto ,LFP,60,9,129,16.7,0.7,1.09,Moderate,0.025,9.24,Healthy,,
146451,Tesla Model ,,75,60,829,16.7,0.01,,Aggressive,0.0445,92.17,Healthy,,
4244aab,,LFP,26,69,677,28.4,0.4,1.19,Moderate,0.027,95.67,Healthy,,
b5dc6cc6,BYD Atto ,,60,81,92,42.7,0.9,1.09,Conservative,,91.71,Healthy,,
9186b9c8,BYD Atto ,LFP,60,70,69,26.2,0.76,1.77,Aggressive,0.007,94.41,Healthy,,
267a4859,Ford Mustang Mach-E,NMC,88,4,449,22.9,0.6,0.56,,0.027,95.78,Healthy,,
46a700,Tesla Model ,NMC,75,95,559,14.4,0.58,1.8,Aggressive,0.0425,92.24,Healthy,,
a1e57c95,BYD Atto ,LFP,60,52,4,6.2,0.2,0.87,Moderate,0.025,97.6,Healthy,,
9d9818a,,LFP,26,4,64,28.7,0.7,1.26,Aggressive,0.0272,96.59,Healthy,,
6b78c096,Ford Mustang Mach-E,NMC,88,28,2,2.5,0.7,1.5,Moderate,0.0276,98.07,Healthy,,
bfe568f5,Wuling Air EV,LFP,26,20,222,1.9,0.92,1.21,Conservative,0.02,98.17,Healthy,,
f0f5d708,Tesla Model ,NMC,75,20,275,2,0.95,1.14,Conservative,0.0274,97,Healthy,,
c264ff7,Wuling Air EV,LFP,26,24,101,18.9,0.18,,Moderate,0.022,98.8,Healthy,,
e1a4bbdb,Tesla Model ,NMC,75,95,670,21.5,0.66,1.7,,0.04,9.5,Healthy,,
f0d161b,,LFP,60,6,57,26,0.2,2.08,Conservative,0.0217,,Healthy,,
1d167,Ford Mustang Mach-E,,88,75,702,19,0.04,,Moderate,0.087,9.6,Healthy,,
477b01e0,,LFP,26,4,627,29.9,0.85,1.4,Moderate,0.019,94.44,Healthy,,
1ced924a,Ford Mustang Mach-E,NMC,88,22,6,2,0.29,2,Conservative,0.0289,96.6,Healthy,,
ec075d4a,Hyundai Ioniq 5,,72.6,6,917,9.4,0.5,2.17,Moderate,0.0578,87.61,Healthy,,
80754bc,Tesla Model ,,75,6,8,5.2,0.89,,Moderate,0.021,,Healthy,,
778fa1f,Hyundai Ioniq 5,,72.6,87,729,4.9,0.1,1.44,Conservative,0.04,9.15,Healthy,,
867a9e,Hyundai Ioniq 5,NMC,72.6,4,620,25.5,0.89,2.4,Conservative,0.082,9.8,Healthy,,
4de5897c,BYD Atto ,LFP,60,50,61,19.5,0.29,,Moderate,0.0244,97.16,Healthy,,
8767fc,Hyundai Ioniq 5,,72.6,77,787,4.8,0.09,1.92,Aggressive,0.05,90.1,Healthy,,
9af87479,Tesla Model ,NMC,75,82,9,2.8,0.7,1.19,Aggressive,0.009,95.9,Healthy,,
1.25E+12,,NMC,72.6,57,7,26.2,0.88,0.71,Conservative,,92.52,Healthy,,
507504a,BYD Atto ,LFP,60,17,161,11.7,0.69,1.56,Moderate,0.022,98.99,Healthy,,
259d945,BYD Atto ,LFP,60,96,787,19.2,0.5,1.98,Aggressive,0.0291,95.28,Healthy,,
47e8984e,,NMC,88,42,205,17.1,0.2,2.5,Aggressive,0.0275,97.28,Healthy,,
92e9e8b1,Tesla Model ,NMC,75,7,916,2,0.57,2.12,Conservative,0.0489,90.56,Healthy,,
10bcb47b,Ford Mustang Mach-E,NMC,88,11,124,25.9,0.9,2.44,Conservative,0.0219,98.85,Healthy,,
af4f9991,,LFP,60,7,554,26.1,0.92,,Conservative,0.029,95.92,Healthy,,
b88a899,BYD Atto ,LFP,60,1,177,19.5,0.96,1.79,Moderate,0.0228,98.58,Healthy,,
842b2db7,Tesla Model ,,75,41,252,,0.54,0.96,Aggressive,0.026,97.6,Healthy,,
17710a6,BYD Atto ,LFP,60,61,69,21.6,0.54,,Moderate,0.0288,95.06,Healthy,,
0e6c084,Ford Mustang Mach-E,NMC,88,71,88,,0.65,0.99,Conservative,0.005,96.17,Healthy,,
94fa2a4b,Hyundai Ioniq 5,,72.6,20,296,12,0.64,1.6,Moderate,0.0292,96.77,Healthy,,
b4a5b2fa,Wuling Air EV,LFP,26,0,196,12.5,0.1,0.58,,0.021,99.2,Healthy,,
079dce,,,75,46,191,7,0.61,1.89,Conservative,0.0268,97.57,Healthy,,
afbf6762,,,75,64,821,26.4,0.4,,Conservative,,92.44,Healthy,,
0f2c996,,,75,1,57,,0.41,1.2,Conservative,0.0265,97.6,Healthy,,
e18f6962,BYD Atto ,LFP,60,21,104,4,0.24,1.6,Moderate,0.0195,99.77,Healthy,,
aaad8,,NMC,88,51,569,19,0.25,0.79,Aggressive,0.086,9.44,Healthy,,
89b2,BYD Atto ,LFP,60,46,62,18.6,0.41,1.28,Conservative,,96.49,Healthy,,
7062981b,Ford Mustang Mach-E,NMC,88,46,414,21.2,0.49,,Moderate,0.016,96.22,Healthy,,
1b09856,Hyundai Ioniq 5,NMC,72.6,21,84,7.8,0.08,2.49,Moderate,0.0258,98.68,Healthy,,
258bea,Tesla Model ,,75,7,67,2.1,0.02,,Moderate,0.0206,99.91,Healthy,,
